emoji,code_points,status,name
👩🏼‍🦲,1F469 1F3FC 200D 1F9B2                                 ,fully-qualified,"woman: medium-light skin tone, bald"
👩🏽‍🦲,1F469 1F3FD 200D 1F9B2                                 ,fully-qualified,"woman: medium skin tone, bald"
👩🏾‍🦲,1F469 1F3FE 200D 1F9B2                                 ,fully-qualified,"woman: medium-dark skin tone, bald"
👩🏿‍🦲,1F469 1F3FF 200D 1F9B2                                 ,fully-qualified,"woman: dark skin tone, bald"
🧑‍🦲,1F9D1 200D 1F9B2                                       ,fully-qualified,person: bald
🧑🏻‍🦲,1F9D1 1F3FB 200D 1F9B2                                 ,fully-qualified,"person: light skin tone, bald"
🧑🏼‍🦲,1F9D1 1F3FC 200D 1F9B2                                 ,fully-qualified,"person: medium-light skin tone, bald"
🧑🏽‍🦲,1F9D1 1F3FD 200D 1F9B2                                 ,fully-qualified,"person: medium skin tone, bald"
🧑🏾‍🦲,1F9D1 1F3FE 200D 1F9B2                                 ,fully-qualified,"person: medium-dark skin tone, bald"
🧑🏿‍🦲,1F9D1 1F3FF 200D 1F9B2                                 ,fully-qualified,"person: dark skin tone, bald"
👱‍♀️,1F471 200D 2640 FE0F                                   ,fully-qualified,woman: blond hair
👱‍♀,1F471 200D 2640                                        ,minimally-qualified,woman: blond hair
👱🏻‍♀️,1F471 1F3FB 200D 2640 FE0F                             ,fully-qualified,"woman: light skin tone, blond hair"
👱🏻‍♀,1F471 1F3FB 200D 2640                                  ,minimally-qualified,"woman: light skin tone, blond hair"
👱🏼‍♀️,1F471 1F3FC 200D 2640 FE0F                             ,fully-qualified,"woman: medium-light skin tone, blond hair"
👱🏼‍♀,1F471 1F3FC 200D 2640                                  ,minimally-qualified,"woman: medium-light skin tone, blond hair"
👱🏽‍♀️,1F471 1F3FD 200D 2640 FE0F                             ,fully-qualified,"woman: medium skin tone, blond hair"
👱🏽‍♀,1F471 1F3FD 200D 2640                                  ,minimally-qualified,"woman: medium skin tone, blond hair"
👱🏾‍♀️,1F471 1F3FE 200D 2640 FE0F                             ,fully-qualified,"woman: medium-dark skin tone, blond hair"
👱🏾‍♀,1F471 1F3FE 200D 2640                                  ,minimally-qualified,"woman: medium-dark skin tone, blond hair"
👱🏿‍♀️,1F471 1F3FF 200D 2640 FE0F                             ,fully-qualified,"woman: dark skin tone, blond hair"
👱🏿‍♀,1F471 1F3FF 200D 2640                                  ,minimally-qualified,"woman: dark skin tone, blond hair"
👱‍♂️,1F471 200D 2642 FE0F                                   ,fully-qualified,man: blond hair
👱‍♂,1F471 200D 2642                                        ,minimally-qualified,man: blond hair
👱🏻‍♂️,1F471 1F3FB 200D 2642 FE0F                             ,fully-qualified,"man: light skin tone, blond hair"
👱🏻‍♂,1F471 1F3FB 200D 2642                                  ,minimally-qualified,"man: light skin tone, blond hair"
👱🏼‍♂️,1F471 1F3FC 200D 2642 FE0F                             ,fully-qualified,"man: medium-light skin tone, blond hair"
👱🏼‍♂,1F471 1F3FC 200D 2642                                  ,minimally-qualified,"man: medium-light skin tone, blond hair"
👱🏽‍♂️,1F471 1F3FD 200D 2642 FE0F                             ,fully-qualified,"man: medium skin tone, blond hair"
👱🏽‍♂,1F471 1F3FD 200D 2642                                  ,minimally-qualified,"man: medium skin tone, blond hair"
👱🏾‍♂️,1F471 1F3FE 200D 2642 FE0F                             ,fully-qualified,"man: medium-dark skin tone, blond hair"
👱🏾‍♂,1F471 1F3FE 200D 2642                                  ,minimally-qualified,"man: medium-dark skin tone, blond hair"
👱🏿‍♂️,1F471 1F3FF 200D 2642 FE0F                             ,fully-qualified,"man: dark skin tone, blond hair"
👱🏿‍♂,1F471 1F3FF 200D 2642                                  ,minimally-qualified,"man: dark skin tone, blond hair"
🧓,1F9D3                                                  ,fully-qualified,older person
🧓🏻,1F9D3 1F3FB                                            ,fully-qualified,older person: light skin tone
🧓🏼,1F9D3 1F3FC                                            ,fully-qualified,older person: medium-light skin tone
🧓🏽,1F9D3 1F3FD                                            ,fully-qualified,older person: medium skin tone
🧓🏾,1F9D3 1F3FE                                            ,fully-qualified,older person: medium-dark skin tone
🧓🏿,1F9D3 1F3FF                                            ,fully-qualified,older person: dark skin tone
👴,1F474                                                  ,fully-qualified,old man
👴🏻,1F474 1F3FB                                            ,fully-qualified,old man: light skin tone
👴🏼,1F474 1F3FC                                            ,fully-qualified,old man: medium-light skin tone
